TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,DRAFT_YEAR,SEASON,GAMES_PLAYED,MINUTES,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,TURNOVERS,FIELD_GOAL_PCT,THREE_POINT_PCT,FREE_THROW_PCT,USAGE_RATE,PLUS_MINUS
14023,203924,Jerami,Grant,Jerami Grant,SF,78.5,6' 6.5'',79.75,6' 7.75'',214.0,86.75,7' 2.75'',107.0,8' 11'',3.75,9.25,9.25,2014,2014-15,65.0,21.2,6.3,3.0,1.2,0.6,1.0,1.3,0.352,0.314,0.591,,
14024,203798,P.J.,Hairston,P.J. Hairston,SG,76.25,6' 4.25'',77.25,6' 5.25'',228.8,81.0,6' 9'',101.0,8' 5'',8.2,8.75,9.75,2014,2014-15,45.0,15.3,5.6,2.0,0.5,0.5,0.3,0.5,0.323,0.301,0.861,,
14025,203914,Gary,Harris,Gary Harris,SG,74.5,6' 2.5'',76.5,6' 4.5'',204.8,78.75,6' 6.75'',96.0,8' 0'',4.55,8.5,9.5,2014,2014-15,55.0,13.1,3.4,1.2,0.5,0.7,0.1,0.7,0.304,0.204,0.745,,
14026,203925,Joe,Harris,Joe Harris,SG,76.75,6' 4.75'',78.25,6' 6.25'',215.0,78.0,6' 6'',100.0,8' 4'',6.2,8.5,9.75,2014,2014-15,51.0,9.7,2.7,0.8,0.5,0.1,0.0,0.5,0.4,0.369,0.6,,
14027,203918,Rodney,Hood,Rodney Hood,SF,79.25,6' 7.25'',80.5,6' 8.5'',208.2,80.5,6' 8.5'',103.0,8' 7'',7.45,8.5,8.5,2014,2014-15,50.0,21.3,8.7,2.3,1.7,0.6,0.2,0.9,0.414,0.365,0.763,,
14028,203928,Cory,Jefferson,Cory Jefferson,PF,79.75,6' 7.75'',81.0,6' 9'',218.4,84.5,7' 0.5'',105.0,8' 9'',5.25,8.75,9.75,2014,2014-15,50.0,10.6,3.7,2.9,0.3,0.2,0.4,0.4,0.449,0.133,0.574,,
14029,203910,Nick,Johnson,Nick Johnson,SG,73.5,6' 1.5'',75.0,6' 3'',198.0,79.25,6' 7.25'',96.5,8' 0.5'',6.05,8.75,9.75,2014,2014-15,28.0,9.4,2.6,1.4,0.4,0.3,0.1,0.7,0.347,0.238,0.68,,
14031,203930,Sean,Kilpatrick,Sean Kilpatrick,SG,74.5,6' 2.5'',76.25,6' 4.25'',218.7,79.0,6' 7'',99.0,8' 3'',9.2,9.0,9.0,2014,2014-15,4.0,18.0,5.5,1.5,1.0,0.8,0.0,0.5,0.35,0.308,1.0,,
14032,203945,Alex,Kirk,Alex Kirk,PF,81.25,6' 9.25'',82.75,6' 10.75'',252.0,87.5,7' 3.5'',109.5,9' 1.5'',13.6,9.25,10.5,2014,2014-15,5.0,2.8,0.8,0.2,0.2,0.0,0.0,0.0,0.25,0.0,1.0,,
14033,203897,Zach,LaVine,Zach LaVine,PG,76.5,6' 4.5'',77.75,6' 5.75'',180.9,80.25,6' 8.25'',100.0,8' 4'',4.7,8.25,8.75,2014,2014-15,77.0,24.7,10.1,2.8,3.6,0.7,0.1,2.5,0.422,0.341,0.842,,
