TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,DRAFT_YEAR,SEASON,GAMES_PLAYED,MINUTES,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,TURNOVERS,FIELD_GOAL_PCT,THREE_POINT_PCT,FREE_THROW_PCT,HEIGHT_WO_SHOES_INCHES,HEIGHT_W_SHOES_INCHES,WINGSPAN_INCHES,STANDING_REACH_INCHES,PRA_PERMIN
14031,203930,Sean,Kilpatrick,Sean Kilpatrick,SG,74.5,76.25,218.7,79.0,99.0,9.2,9.0,9.0,2014,2014-15,4.0,18.0,5.5,1.5,1.0,0.8,0.0,0.5,0.35,0.308,1.0,74.5,76.25,79.0,99.0,0.4444444444444444
14032,203945,Alex,Kirk,Alex Kirk,PF,81.25,82.75,252.0,87.5,109.5,13.6,9.25,10.5,2014,2014-15,5.0,2.8,0.8,0.2,0.2,0.0,0.0,0.0,0.25,0.0,1.0,81.25,82.75,87.5,109.5,0.4285714285714286
14033,203897,Zach,LaVine,Zach LaVine,PG,76.5,77.75,180.9,80.25,100.0,4.7,8.25,8.75,2014,2014-15,77.0,24.7,10.1,2.8,3.6,0.7,0.1,2.5,0.422,0.341,0.842,76.5,77.75,80.25,100.0,0.6680161943319838
14034,203906,Devyn,Marble,Devyn Marble,SG,77.0,78.5,192.4,81.0,102.0,6.9,8.25,8.5,2014,2014-15,16.0,13.0,2.3,1.9,1.1,0.6,0.1,0.6,0.318,0.182,0.313,77.0,78.5,81.0,102.0,0.40769230769230763
14039,203949,James,McAdoo,James McAdoo,PF,79.5,80.75,227.6,86.25,106.5,6.15,9.25,9.0,2014,2014-15,15.0,9.1,4.1,2.5,0.1,0.3,0.6,0.4,0.545,0.0,0.56,79.5,80.75,86.25,106.5,0.7362637362637362
14035,203909,K.J.,McDaniels,K.J. McDaniels,SF,76.5,78.0,195.6,83.25,102.0,4.45,8.75,9.75,2014,2014-15,52.0,25.4,9.2,3.8,1.3,0.8,1.3,2.0,0.399,0.293,0.756,76.5,78.0,83.25,102.0,0.5629921259842521
14036,203926,Doug,McDermott,Doug McDermott,SF,78.25,79.75,218.0,81.25,103.0,7.1,8.75,9.75,2014,2014-15,36.0,8.9,3.0,1.2,0.2,0.1,0.0,0.5,0.402,0.317,0.667,78.25,79.75,81.25,103.0,0.49438202247191015
14038,203895,Jordan,McRae,Jordan McRae,SG,75.75,77.25,179.4,84.5,104.0,5.2,8.75,8.5,2014,2014-15,7.0,11.7,5.3,1.1,1.4,0.4,0.0,0.9,0.423,0.273,0.8,75.75,77.25,84.5,104.0,0.6666666666666667
14040,203894,Shabazz,Napier,Shabazz Napier,PG,71.0,73.0,175.2,75.25,93.0,7.35,8.25,8.5,2014,2014-15,51.0,19.8,5.1,2.2,2.5,0.8,0.1,1.6,0.382,0.364,0.786,71.0,73.0,75.25,93.0,0.494949494949495
14041,203948,Johnny,O?Bryant III,Johnny O?Bryant III,PF,79.25,80.5,256.8,86.25,105.0,10.75,9.25,9.5,2014,2014-15,34.0,10.8,2.9,1.9,0.5,0.1,0.1,0.7,0.367,0.0,0.444,79.25,80.5,86.25,105.0,0.4907407407407407
14043,203934,Lamar,Patterson,Lamar Patterson,SG,76.0,77.25,226.0,83.0,101.0,10.75,9.0,9.25,2014,2014-15,35.0,11.3,2.4,1.4,1.1,0.3,0.1,0.7,0.35,0.245,0.727,76.0,77.25,83.0,101.0,0.4336283185840708
14044,203940,Adreian,Payne,Adreian Payne,PF,81.0,81.75,238.5,88.0,109.0,7.55,9.25,9.5,2014,2014-15,3.0,6.3,1.7,1.3,0.0,0.3,0.0,0.0,0.286,0.0,0.5,81.0,81.75,88.0,109.0,0.4761904761904762
