PLAYER_ID,PLAYER_NAME,FIRST_NAME,LAST_NAME,POSITION,DRAFT_YEAR,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,MODIFIED_LANE_AGILITY_TIME,GAMES_PLAYED,MINUTES,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,TURNOVERS,FIELD_GOAL_PCT,THREE_POINT_PCT,FREE_THROW_PCT,WINGSPAN_INCHES,STANDING_REACH_INCHES,PRA_PERMIN,SEASON,HEIGHT_W_SHOES
1641735,Amari Bailey,Amari,Bailey,SG,2023,75.25,190.8,79.0,103.5,,8.0,9.25,11.34,3.19,28.5,35.0,,10.0,6.5,2.3,0.9,0.7,0.3,0.0,0.4,0.333,0.125,0.857,79.0,103.5,0.5999999999999999,2023,
1641708,Amen Thompson,Amen,Thompson,SG,2023,77.75,214.2,84.0,103.5,,8.5,8.5,,,,,,62.0,22.4,9.5,6.6,2.6,1.3,0.6,1.5,0.536,0.138,0.684,84.0,103.5,0.8348214285714287,2023,
1641748,Andre Jackson Jr.,Andre,Jackson Jr.,SF,2023,77.5,198.4,81.75,103.0,,8.25,9.5,10.83,3.14,30.5,39.5,,57.0,10.0,2.2,2.0,0.9,0.3,0.1,0.5,0.5,0.37,0.727,81.75,103.0,0.51,2023,
1626150,Andrew Harrison,Andrew,Harrison,PG,2015,76.5,213.2,81.0,100.0,5.9,8.25,9.25,11.2,3.34,26.5,33.0,,72.0,20.5,5.9,1.9,2.8,0.7,0.3,1.2,0.325,0.276,0.763,81.0,100.0,0.5170731707317073,2015,77.5
1629614,Andrew Nembhard,Andrew,Nembhard,PG,2022,75.0,195.6,77.75,99.0,4.4,8.0,9.5,10.46,3.26,26.5,35.0,3.02,75.0,27.7,9.5,2.7,4.5,0.9,0.2,1.7,0.441,0.35,0.79,77.75,99.0,0.6028880866425993,2022,76.5
1629014,Anfernee Simons,Anfernee,Simons,SG-PG,2018,74.25,183.2,81.25,99.5,7.7,8.75,9.0,11.27,3.1,32.0,41.5,3.16,20.0,7.1,3.8,0.7,0.7,0.1,0.0,0.6,0.444,0.345,0.563,81.25,99.5,0.7323943661971831,2018,75.25
1641710,Anthony Black,Anthony,Black,PG,2023,77.75,210.0,79.5,102.5,,8.25,9.5,11.04,3.35,32.0,39.0,,69.0,16.9,4.6,2.0,1.3,0.5,0.3,0.8,0.466,0.394,0.613,79.5,102.5,0.4674556213017751,2023,
1626148,Anthony Brown,Anthony,Brown,SF-SG,2015,77.75,211.0,83.0,104.5,6.1,8.5,9.0,10.94,3.18,27.5,34.5,3.29,29.0,20.7,4.0,2.4,0.7,0.5,0.2,0.5,0.31,0.286,0.85,83.0,104.5,0.3429951690821256,2015,79.25
1630574,Ariel Hukporti,Ariel,Hukporti,C,2021,82.75,246.0,86.5,111.5,8.1,9.5,9.5,12.2,3.12,24.5,31.0,3.53,25.0,8.7,1.9,2.0,0.4,0.0,0.6,0.8,0.677,0.0,0.462,86.5,111.5,0.4942528735632184,2021,84.0
1630204,Ashton Hagans,Ashton,Hagans,PG,2020,73.5,193.0,80.0,99.5,4.1,9.0,9.0,10.82,3.13,29.5,36.5,2.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,80.0,99.5,0.0,2020,74.5
1641709,Ausar Thompson,Ausar,Thompson,SG,2023,77.75,218.2,84.0,104.0,,8.75,9.25,,,,,,63.0,25.1,8.8,6.4,1.9,1.1,0.9,1.3,0.483,0.186,0.597,84.0,104.0,0.6812749003984064,2023,
1630559,Austin Reaves,Austin,Reaves,SG,2021,76.5,197.2,78.25,101.0,11.0,8.0,8.25,10.94,3.07,25.0,35.0,3.19,61.0,23.2,7.3,3.2,1.8,0.5,0.3,0.7,0.459,0.317,0.839,78.25,101.0,0.5301724137931035,2021,77.75
1630245,Ayo Dosunmu,Ayo,Dosunmu,SG,2021,75.5,194.4,82.25,102.0,4.9,8.5,8.75,11.51,3.23,27.0,33.5,3.27,77.0,27.4,8.8,2.8,3.3,0.8,0.4,1.4,0.52,0.376,0.679,82.25,102.0,0.5437956204379563,2021,77.0
1627791,Ben Bentil,Ben,Bentil,PF,2016,79.25,229.2,85.5,105.0,9.7,9.5,10.0,11.16,3.3,29.0,33.0,3.1,3.0,3.3,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,85.5,105.0,0.2121212121212121,2016,80.25
1641767,Ben Sheppard,Ben,Sheppard,SG,2023,77.25,194.6,79.75,100.0,,8.5,9.5,10.88,3.17,29.5,35.5,2.98,57.0,14.3,4.4,1.6,0.9,0.6,0.0,0.3,0.393,0.314,0.885,79.75,100.0,0.4825174825174825,2023,
1631097,Bennedict Mathurin,Bennedict,Mathurin,SG,2022,76.5,204.6,81.0,104.0,5.7,8.5,9.75,,,,,,78.0,28.5,16.7,4.1,1.5,0.6,0.2,1.9,0.434,0.323,0.828,81.0,104.0,0.7824561403508771,2022,78.0
1631104,Blake Wesley,Blake,Wesley,SG,2022,75.0,187.2,81.25,103.0,5.6,8.25,9.0,11.55,3.21,30.0,36.0,3.25,37.0,18.1,5.0,2.2,2.6,0.7,0.1,1.8,0.321,0.385,0.591,81.25,103.0,0.5414364640883977,2022,76.25
1626171,Bobby Portis,Bobby,Portis,PF,2015,81.5,246.2,86.0,108.5,8.9,9.5,9.25,11.78,3.56,25.0,31.5,3.28,62.0,17.8,7.0,5.4,0.8,0.4,0.4,0.9,0.427,0.308,0.727,86.0,108.5,0.7415730337078652,2015,82.5
